,,,Apple Inc.,AbbVie Inc,Albemarle Corporation,"Align Technology, Inc.","Amazon.com, Inc.",Appian Corp,Booking Holdings Inc,Bristol-Myers Squibb Co,Crestwood Equity Partners LP,Cleveland-Cliffs Inc,Corelogic Inc,Clean Energy Fuels Corp,Canadian Imperial Bank of Commerce,Corenergy Infrastructure Trust Inc,"salesforce.com, inc.",CoStar Group Inc,Walt Disney Co,Enterprise Products Partners L.P.,Ford Motor Company,"Facebook, Inc. Common Stock",Greenbrier Companies Inc,General Electric Company,Corning Incorporated,General Motors Company,Alphabet Inc Class C,GlaxoSmithKline plc,Hain Celestial Group Inc,"Halozyme Therapeutics, Inc.","Hasbro, Inc.",Home Depot Inc,"Illumina, Inc.",JD.Com Inc,"McCormick & Company, Incorporated",Markel Corporation,Microsoft Corporation,Match Group Inc,"Micron Technology, Inc.",Maxim Integrated Products Inc.,New Relic Inc,"Annaly Capital Management, Inc.",Okta Inc,ON Semiconductor Corp,Qorvo Inc,"RPC, Inc.","Rollins, Inc.",RPM International Inc.,Starbucks Corporation,Shopify Inc,SK Telecom Co Ltd,Silicon Laboratories Inc,SunPower Corporation,Square Inc,Spirit Realty Capital Inc,Store Capital Corp,Molson Coors Beverage Co Class B,TransDigm Group Incorporated,Transportadora de Gas del Sur SA ADR Class B,Talend SA ADR,Tractor Supply Company,Uniti Group Inc,Visa Inc,Wix.Com Ltd,Walmart Inc,Zillow Group Inc Class C
,,,AAPL,ABBV,ALB,ALGN,AMZN,APPN,BKNG,BMY,CEQP,CLF,CLGX,CLNE,CM,CORR,CRM,CSGP,DIS,EPD,F,FB,GBX,GE,GLW,GM,GOOG,GSK,HAIN,HALO,HAS,HD,ILMN,JD,MKC,MKL,MSFT,MTCH,MU,MXIM,NEWR,NLY,OKTA,ON,QRVO,RES,ROL,RPM,SBUX,SHOP,SKM,SLAB,SPWR,SQ,SRC,STOR,TAP,TDG,TGS,TLND,TSCO,UNIT,V,WIX,WMT,Z
2019-11-01,11/30/2019,12/2/2019,66.04,87.03,65.04,274.34,1781.6,40.79,1884.44,57.41,31.85,8.41,41.15,1.92,86.62,43.75,161,602.71,150.62,25.96,9.01,199.7,28.13,11.16,28.75,35.88,1289.92,44.93,24.99,18.79,100.49,217.62,319.67,32.29,169.21,1121.92,149.55,68.42,46.39,56.46,66.67,9.33,121.95,21.36,102.97,3.89,35.44,73.35,84.57,330.84,22.57,104.78,4.77,66.88,51.61,40.03,50.67,556.58,5.79,37.35,95.78,6.68,181.79,120.42,119.28,39.86
2019-12-01,12/31/2019,12/31/2019,73.41,88.54,73.04,279.04,1847.84,38.21,2053.73,64.19,30.82,8.4,43.71,2.34,83.2,44.71,162.64,598.3,144.63,28.16,9.3,205.25,32.43,11.16,29.11,36.6,1337.02,46.99,25.96,17.73,105.61,218.38,331.74,35.23,169.73,1143.17,157.7,82.11,53.78,61.51,65.71,9.42,115.37,24.38,116.23,5.24,33.16,76.76,87.92,397.58,23.11,115.98,5.11,62.56,49.18,37.24,53.9,560,7.17,39.11,93.44,8.21,187.9,122.38,118.84,45.94
2020-01-01,1/31/2020,1/31/2020,77.38,81.02,80.28,257.1,2008.72,51.04,1830.55,62.95,28.96,7.02,46.5,2.3,81.47,45.6,182.31,652.99,138.31,25.77,8.82,201.91,24.09,12.45,26.69,33.39,1434.23,46.8,24.21,18.98,101.87,228.1,290.07,37.69,163.37,1172.97,170.23,78.22,53.09,60.12,66.01,9.76,128.05,23.15,105.86,4.53,37.95,71.37,84.83,465.66,21.21,98.31,5.58,74.69,52.78,39.25,55.58,643.28,6.19,36.9,92.95,6.33,198.97,142.69,114.49,46.21
2020-02-01,2/29/2020,3/2/2020,74.7,88.69,84.3,230.22,1953.95,45.89,1728.98,60.34,20.88,5.92,48.29,2.29,77.57,38.06,176.76,705.8,119.98,24.33,7.2,196.44,23.97,11.21,24.67,31.42,1389.11,42.55,25.23,20.55,79.29,229.94,278.28,43.3,152.47,1262.7,172.79,68.14,54.59,57.81,54.92,9.44,133.43,18.93,100.44,3.58,39.11,66.02,82.38,488.4,19.52,91.79,5.71,80.67,47.17,33.75,51.48,568.46,5.77,36.25,91.48,10.33,192.33,138.72,115.88,54.4
2020-03-01,3/31/2020,3/31/2020,63.57,76.19,56.37,173.95,1949.72,40.23,1345.32,55.74,4.23,3.95,30.54,1.78,57.97,18.38,143.98,587.21,96.6,14.3,4.83,166.8,17.74,7.94,20.54,20.78,1162.81,37.89,25.97,17.99,71.55,186.71,273.12,40.5,141.21,927.89,157.71,66.04,42.06,48.61,46.24,5.07,122.26,12.44,80.63,2.06,36.14,59.5,65.74,416.93,16.27,85.41,3.32,52.38,26.15,18.12,39.01,320.19,4.6,22.43,84.55,6.03,161.12,100.82,113.62,36.02
2020-04-01,4/30/2020,4/30/2020,73.45,82.2,61.43,214.85,2474,45.67,1480.57,60.81,10.94,4.38,38.42,2.15,59.41,12.14,161.95,648.26,108.15,17.56,5.09,204.71,16.98,6.8,22.01,22.29,1348.66,42.07,25.84,22.66,72.21,219.83,319.03,43.1,156.84,865.84,179.21,76.96,47.89,54.98,53.69,6.25,151.3,16.05,98.03,3.41,40,66.41,76.73,632.29,19.13,97.22,4.81,65.14,30.76,20.07,41.01,363.08,4.58,26.08,101.43,7.06,178.72,130.81,121.55,43.96
2020-05-01,5/31/2020,6/1/2020,80.46,90.7,77.42,250.55,2471.04,57.94,1670.73,60.29,13.69,5.32,49.83,2.07,66.97,9.46,176.36,656.92,118.77,19.27,5.87,231.91,21.4,6.76,22.74,26.94,1431.82,41.85,31.41,24.19,72.66,247.29,365.41,54.73,176.57,897.75,182.83,91.73,46.34,57.86,67.97,6.28,204.78,16.78,104.58,3.07,42.22,74.1,78.32,758,20.09,91.92,4.85,82.72,30.65,20.8,37.97,438.79,5.6,33.03,122.66,8.74,194.35,220.97,123.96,58.22
2020-06-01,6/30/2020,6/30/2020,91.2,98.18,77.21,274.44,2758.82,51.25,1592.34,58.8,13.11,5.52,67.22,2.22,66.97,9.15,187.33,710.67,111.51,18.17,6.08,227.07,22.75,6.83,25.9,25.3,1413.61,40.79,31.51,26.81,74.95,250.51,370.35,60.18,179.41,923.17,203.51,107.05,51.52,60.61,68.9,6.56,200.23,19.82,110.53,3.08,42.39,75.06,73.59,949.2,19.32,100.27,5.02,104.94,34.86,23.81,34.36,442.05,5.63,34.66,131.79,9.35,193.17,256.22,119.78,57.61
2020-07-01,7/31/2020,7/31/2020,106.26,94.91,82.46,293.82,3164.68,50.87,1662.13,58.66,14.5,5.18,68.16,2.38,69.35,8.76,194.85,849.76,116.94,17.6,6.61,253.67,25.73,6.07,31,24.89,1482.96,40.32,33.98,27.19,72.76,265.49,382.16,63.79,194.9,1044.54,205.01,102.7,50.06,68.09,70.91,7.41,220.98,20.6,128.15,2.97,52.4,81.59,76.53,1024,20.29,100.51,6.11,129.85,34.46,23.69,37.52,431.58,5.62,35.34,142.74,9.9,190.4,290.48,129.4,68.39
2020-08-01,8/31/2020,8/31/2020,129.04,95.77,91.01,296.98,3450.96,61.24,1910.45,62.2,13.58,6.58,66.4,2.64,79.35,8.94,272.65,848.6,131.87,17.56,6.82,293.2,27.19,6.34,32.46,29.63,1634.18,39.6,32.79,29,78.94,285.04,357.22,78.64,206.2,1086.83,225.53,111.68,45.51,68.44,61.43,7.35,215.37,21.37,128.27,3.13,55.14,84.77,84.47,1066.42,22.97,102.41,11.19,159.56,35.51,27.04,37.64,499.67,4.7,41.18,148.83,9.82,211.99,294.63,138.85,85.76
